Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_1455_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.239,1.239,1.239,0.7,0.7,0.7,0.7,0.7,0.7,1.239,1.239,1.239,0.761,0.761,0.761,1.3,1.3,1.3,1.3,1.3,1.3,0.761,0.761,0.761
MS1_bs_1466_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.235,1.235,1.235,0.7,0.7,0.7,0.7,0.7,0.7,1.235,1.235,1.235,0.765,0.765,0.765,1.3,1.3,1.3,1.3,1.3,1.3,0.765,0.765,0.765
MS1_bs_1478_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.293,1.293,1.293,0.7,0.7,0.7,0.7,0.7,0.7,1.293,1.293,1.293,0.707,0.707,0.707,1.3,1.3,1.3,1.3,1.3,1.3,0.707,0.707,0.707
MS1_bs_1480_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.278,1.278,1.278,0.7,0.7,0.7,0.7,0.7,0.7,1.278,1.278,1.278,0.722,0.722,0.722,1.3,1.3,1.3,1.3,1.3,1.3,0.722,0.722,0.722
MS1_bs_1484_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.391,1.391,1.391,0.7,0.7,0.7,0.7,0.7,0.7,1.391,1.391,1.391,0.609,0.609,0.609,1.3,1.3,1.3,1.3,1.3,1.3,0.609,0.609,0.609
MS1_bs_1491_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.435,1.435,1.435,0.7,0.7,0.7,0.7,0.7,0.7,1.435,1.435,1.435,0.565,0.565,0.565,1.3,1.3,1.3,1.3,1.3,1.3,0.565,0.565,0.565
MS1_bs_1495_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.244,1.244,1.244,0.7,0.7,0.7,0.7,0.7,0.7,1.244,1.244,1.244,0.756,0.756,0.756,1.3,1.3,1.3,1.3,1.3,1.3,0.756,0.756,0.756
MS1_bs_1501_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.387,1.387,1.387,0.7,0.7,0.7,0.7,0.7,0.7,1.387,1.387,1.387,0.613,0.613,0.613,1.3,1.3,1.3,1.3,1.3,1.3,0.613,0.613,0.613
MS1_bs_1524_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.356,1.356,1.356,0.7,0.7,0.7,0.7,0.7,0.7,1.356,1.356,1.356,0.644,0.644,0.644,1.3,1.3,1.3,1.3,1.3,1.3,0.644,0.644,0.644
MS1_bs_1527_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.297,1.297,1.297,0.7,0.7,0.7,0.7,0.7,0.7,1.297,1.297,1.297,0.703,0.703,0.703,1.3,1.3,1.3,1.3,1.3,1.3,0.703,0.703,0.703
