,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_forbs
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,
,,105,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002096459,0.00082607,0.000622726,0.002096459
,,106,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002049068,0.000796729,0.00059844,0.002049068
,,107,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002002748,0.000768431,0.0005751,0.002002748
,,108,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001957475,0.000741137,0.000552672,0.001957475
,,109,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001913226,0.000714813,0.000531117,0.001913226
,,110,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001869976,0.000689424,0.000510404,0.001869976
,,111,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001827705,0.000664936,0.000490498,0.001827705
,,112,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001786389,0.000641319,0.000471369,0.001786389
,,113,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001746007,0.00061854,0.000452985,0.001746007
,,114,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001706538,0.00059657,0.000435319,0.001706538
,,115,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001667961,0.000575381,0.000418341,0.001667961
,,116,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001630256,0.000554944,0.000402026,0.001630256
,,117,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001593404,0.000535233,0,0.001593404
,,118,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001557384,0.000516223,0,0.001557384
,,119,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001522179,0.000497887,0,0.001522179
,,120,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001487769,0.000480203,0,0.001487769
,,121,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001454138,0.000463147,0,0.001454138
,,122,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001421267,0.000446696,0,0.001421267
,,123,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001389138,0.00043083,0,0.001389138
,,124,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001357736,0.000415528,0,0.001357736
,,125,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001327044,0.000400769,0,0.001327044
,,126,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001297046,0.000386534,0,0.001297046
,,127,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001267726,0.000372805,0,0.001267726
,,128,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001239068,0,0,0.001239068
,,129,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001211059,0,0,0.001211059
,,130,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001183682,0,0,0.001183682
,,131,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001156925,0,0,0.001156925
,,132,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001130772,0,0,0.001130772
,,133,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001105211,0,0,0.001105211
,,134,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001080227,0,0,0.001080227
,,135,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001055808,0,0,0.001055808
,,136,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001031941,0,0,0.001031941
,,137,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001008614,0,0,0.001008614
,,138,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000985813,0,0,0.000985813
,,139,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000963529,0,0,0.000963529
,,140,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000941748,0,0,0.000941748
,,141,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000920459,0,0,0.000920459
,,142,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000899652,0,0,0.000899652
,,143,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000879315,0,0,0.000879315
,,144,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000859438,0,0,0.000859438
